,精密機器業界,
1,島津製作所,712
2,松風,705
3,ブイ・テクノロジー,697
4,トプコン,685
5,テルモ,684
6,セイコーホールディングス,683
7,エー・アンド・デイ,682
8,ニコン,676
9,シチズンホールディングス,666
10,ジーエルサイエンス,663
11,日機装,649
12,ＩＭＶ,649
13,オリンパス,624
14,日本精密,621
15,ノーリツ鋼機,619
16,プレシジョン・システム・サイエンス,615
17,ＨＯＹＡ,600
18,朝日インテック,591
19,東京計器,579
20,クボテック,577
21,リズム時計工業,576
22,理研計器,570
23,ジェコー,564
24,助川電気工業,557
25,大研医器,555
26,メディキット,554
27,ナカニシ,548
28,日本電産コパル,540
29,クリエートメディック,528
30,タムロン,528
