,土石製品業界,
1,太平洋セメント,703
2,石川島建材工業,688
3,住友大阪セメント,674
4,日本ガイシ,666
5,日本カーボン,665
6,ノリタケカンパニーリミテド,658
7,デイ・シイ,643
8,ニチハ,612
9,ジオスター,606
10,MARUWA,602
11,ニチアス,601
12,宇部マテリアルズ,594
13,三谷セキサン,593
14,ノザワ,588
15,日本ヒューム,587
16,SECカーボン,583
17,トーヨーアサノ,577
18,日本特殊陶業,573
19,東海カーボン,567
20,ジャパンパイル,567
21,ヨータイ,559
22,TOTO,543
23,黒崎播磨,540
24,品川リフラクトリーズ,528
25,チヨダウーテ,527
26,日本コンクリート工業,525
27,日本坩堝,513
28,エーアンドエーマテリアル,495
29,イソライト工業,493
30,スパンクリートコーポレーシ,491
