,ガラス業界,
1,日本電気ガラス,756
2,旭硝子,753
3,日本板硝子,689
4,オハラ,605
5,HOYA,600
6,日本山村硝子,599
7,セントラル硝子,580
8,石塚硝子,522
9,岡本硝子,436
10,テクノクオーツ,392
11,不二硝子,355
12,倉元製作所,307
