,医療機器業界,
1,日本光電工業,809
2,シスメックス,739
3,島津製作所,712
4,松風,705
5,フクダ電子,699
6,アロカ,694
7,トプコン,685
8,テルモ,684
9,日立メディコ,664
10,オムロン,653
11,日機装,649
12,タカラバイオ,637
13,リオン,632
14,オリンパス,624
15,クラレ,623
16,プレシジョン・システム・サイエン,615
17,HOYA,600
18,朝日インテック,591
19,大研医器,555
20,メディキット,554
21,ナカニシ,548
22,クリエートメディック,528
23,ニプロ,503
24,マニー,487
25,ジェイ・エム・エス,474
26,川澄化学工業,451
27,シード,406
