,携帯電話販売・代理店業界,
1,光通信,
2,NECモバイリング,
3,ティーガイア,
4,中央自動車工業,616
5,京王ズホールディングス,549
6,ＩＴＸ,526
7,アイ・ティー・シーネットワーク,523
8,アルファグループ,465
9,ネプロジャパン,458
10,ベルパーク,455
11,日本テレホン,426
12,エスケーアイ,397
13,クロップス,360
14,パイオン,333
15,トーシン,313
