,タイヤ・ゴム業界,
1,昭和ホールディングス,791
2,東海ゴム工業,611
3,三ツ星ベルト,605
4,ブリヂストン,589
5,ニッタ,582
6,東洋ゴム工業,572
7,横浜ゴム,561
8,住友ゴム工業,557
9,バンドー化学,556
10,鬼怒川ゴム工業,551
11,日東化工,550
12,櫻護謨,533
13,オカモト,528
14,西川ゴム工業,527
15,藤倉ゴム工業,512
16,フコク,492
17,ニチリン,490
18,不二ラテックス,424
19,相模ゴム工業,417
20,帝都ゴム,408
21,朝日ラバー,373
