,金属製品業界,
1,住生活グループ,1047
2,ホッカン HD,780
3,三和ホールディングス,734
4,宮地エンジニアリングG,729
5,東洋製鉄,714
6,横河ブリッジホールディングス,711
7,ＪＦＥコンテイナー,658
8,ケー・エフ・シー,648
9,日本発条,640
10,トーカロ,637
11,立川ブラインド工業,633
12,日立機材,625
13,日本製罐,616
14,エスイー,612
15,ノーリツ,607
16,東プレ,593
17,イワブチ,592
18,駒井鉄工,591
19,ハルテック,583
20,川田テクノロジーズ,582
21,長府製作所,579
22,中央ビルト工業,569
23,エイチワン,569
24,日本フイルコン,568
25,高田機工,567
26,アトムリビンテック,566
27,東京製網,563
28,中西製作所,562
29,SUMCO,557
30,三ツ知,556
