,化学業界,
1,三菱ケミカルHD,1370
2,日本高純度化学,875
3,積水化学工業,861
4,信越化学工業,813
5,旭化成,803
6,三井化学,787
7,日本化薬,773
8,大陽日酸,773
9,三菱瓦斯化学,767
10,高砂香料工業,753
11,積水化成品工業,743
12,日本曹達,741
13,中国塗料,741
14,日本触媒,737
15,ニイタカ,734
16,日産化学工業,728
17,住友化学,726
18,トクヤマ,718
19,日本農薬,712
20,日本合成化学工業,710
21,ジェイエスピー,707
22,JSR,703
23,日油技研工業,697
24,大日精化工業,696
25,クレハ,694
26,東洋インキ製造,692
27,カネカ,691
28,上村工業,684
29,エア・ウォーター,683
30,東ソー,682
